Designator,Mid X,Mid Y,Rotation,Layer
C1,62.92,-43.46,180.0,top
C10,109.42,-49.135,90.0,top
C11,117.42,-25.55,180.0,top
C12,114.92,-33.55,90.0,top
C13,124.545,-33.28,90.0,top
C14,94.75,-38.5,180.0,top
C16,15.0,-7.75,90.0,top
C17,66.487621,-23.96,0.0,top
C18,71.42,-22.635,270.0,top
C19,87.487621,-18.635,0.0,top
C2,48.92,-51.46,0.0,top
C20,66.42,-32.527621,270.0,top
C21,90.42,-23.96,270.0,top
C22,48.987621,-22.96,0.0,top
C23,33.5,-17.5,90.0,top
C24,67.57,-54.915,270.0,top
C25,78.57,-53.915,180.0,top
C26,15.92,-36.46,180.0,top
C27,72.045,-15.96,0.0,top
C28,45.42,-41.96,270.0,top
C3,48.42,-46.46,180.0,top
C4,81.495,-47.0,180.0,top
C5,80.995,-41.0,180.0,top
C6,35.045,-47.46,90.0,top
C7,22.42,-30.96,180.0,top
C8,34.212621,-30.688689,0.0,top
C9,119.545,-48.96,270.0,top
D1,53.92,-33.46,180.0,top
D2,53.92,-36.46,180.0,top
D3,53.92,-39.46,180.0,top
D4,12.645,-13.413689,180.0,top
D5,36.645,-26.188689,0.0,top
D8,53.8575,-30.46,180.0,top
J1,56.57,-56.415,270.0,top
J2,43.645,-16.648689,0.0,top
J3,86.92,-7.96,0.0,top
J4,93.42,-49.88,0.0,top
J5,58.8,-7.96,0.0,top
J6,114.54,-20.0,0.0,top
L1,23.645,-22.188689,270.0,top
L2,78.045,-31.135,0.0,top
Q1,65.42,-14.46,0.0,top
Q2,10.645,-34.188689,0.0,top
Q3,12.845,-27.538689,270.0,top
Q4,22.745,-11.093689,270.0,top
Q5,33.7075,-11.638689,0.0,top
Q6,107.4825,-32.05,0.0,top
Q7,102.8575,-32.0,180.0,top
R1,65.92,-54.96,270.0,top
R10,41.87,-50.96,0.0,top
R11,71.07,-54.915,90.0,top
R12,14.645,-33.188689,180.0,top
R13,38.045,-54.96,270.0,top
R14,38.045,-51.785,270.0,top
R15,26.545,-54.46,270.0,top
R16,30.045,-56.46,270.0,top
R17,33.545,-56.46,90.0,top
R18,29.145,-9.688689,270.0,top
R19,29.145,-13.188689,270.0,top
R2,50.42,-33.46,0.0,top
R20,15.645,-21.188689,90.0,top
R21,15.645,-17.688689,90.0,top
R22,26.545,-50.96,270.0,top
R23,36.5,-15.0,270.0,top
R24,29.72,-47.96,180.0,top
R25,25.72,-47.96,180.0,top
R26,40.145,-26.188689,0.0,top
R27,41.92,-33.96,90.0,top
R28,44.92,-33.96,90.0,top
R29,40.462621,-12.188689,90.0,top
R3,50.42,-36.46,0.0,top
R30,104.92,-49.135,270.0,top
R31,108.545,-52.46,180.0,top
R32,112.545,-54.46,0.0,top
R33,115.87,-54.46,0.0,top
R34,118.545,-53.635,90.0,top
R35,120.92,-28.55,180.0,top
R36,117.595,-28.55,180.0,top
R37,114.42,-28.55,180.0,top
R38,108.545,-45.78,270.0,top
R39,120.42,-40.55,180.0,top
R4,50.42,-39.46,0.0,top
R40,120.42,-37.55,180.0,top
R41,124.045,-36.28,0.0,top
R42,124.5,-30.0,270.0,top
R43,111.545,-33.78,90.0,top
R45,99.92,-32.275,90.0,top
R46,101.92,-28.275,90.0,top
R47,68.42,-18.635,90.0,top
R49,84.92,-23.46,0.0,top
R5,59.92,-21.96,0.0,top
R50,86.42,-25.96,270.0,top
R51,50.3575,-30.46,0.0,top
R52,37.92,-37.46,0.0,top
R53,37.145,-11.688689,270.0,top
R54,105.045,-35.78,270.0,top
R6,58.92,-13.96,270.0,top
R7,58.92,-17.96,270.0,top
R8,62.42,-13.96,270.0,top
R9,62.42,-17.96,270.0,top
U1,56.07,-47.49,90.0,top
U10,37.145,-22.188689,270.0,top
U11,101.9825,-48.96,0.0,top
U12,104.045,-53.46,270.0,top
U13,114.545,-49.46,270.0,top
U14,119.895,-32.455,90.0,top
U15,116.42,-38.55,180.0,top
U16,78.42,-19.635,270.0,top
U17,88.045,-31.185,180.0,top
U18,42.4825,-53.96,0.0,top
U2,42.92,-38.46,90.0,top
U3,72.57,-47.19,90.0,top
U4,84.67,-53.415,270.0,top
U5,21.67,-34.553689,90.0,top
U6,10.95,-21.0625,90.0,top
U7,32.545,-51.96,270.0,top
U8,11.145,-16.95,180.0,top
U9,26.6575,-44.96,180.0,top
Y1,80.995,-44.0,270.0,top
